item_id,audit_set,source_file,final_label,truth,confidence,note,coded_explicitly,extraction_status
47,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"Cosmetic: s2 = 'x = 2 cm and y = 3 cm' vs GT 'x = 2 \, cm and y = 3 \, cm' -- differs only by the \, spacing macro. All 5 samples distinct so no majority formed.",,
47,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
50,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
51,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
52,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"HUMAN FINAL (image re-read): truth final answer is 5887.32 cm^3; the wrong model label comes from sample/extractor issues, not a clear model failure. Supporting data: 3 of 5 samples wrote 5887.32 (s1,s3) or 5887\cdot32 (s2); the decimal-split bug then truncated them to '732 cm^3' and '32 cm^3'. Only s0 wrote 588.732.",,
53,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
54,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"GT truncated to bare 'sympy:243'; model said 'therefore, 243 is not a perfect cube'. Model correct with extra text, as user read.",,
54,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,truth span is only 243; the conclusion is that 243 is not a perfect cube.,True,extraction_issue
55,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,notation_misread,wrong,high,"HUMAN FINAL: page has 1 + tan x tan y, model wrote 1 - . VERIFIED across both models: pert_a is 84 chars, plus-form once, minus-form ZERO times; the minus exists only in orig_q's derivation. Qwen 4/5 samples and Pixtral 4/5 samples wrote the minus, but Pixtral s0 wrote the PLUS faithfully -- proving the page's plus is legible. So copied_wrong_line (coded_31) is factually wrong: there is no minus line on the page to copy. Label kept as notation_misread; mechanism is closer to a prior overriding the image.",,
56,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model 95F, truth 95F -- same value, scorer formatting mismatch.",,
57,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
58,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
59,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,notation_misread,wrong,medium,Vector/conjugate notation misread; not a clean extraction match.,,
60,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,notation_misread,wrong,high,"Model says 776, truth 7776 -- a dropped digit, a real misread.",,
62,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
63,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"span is (1), an equation reference number, not the general solution.",True,extraction_issue
65,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,medium,"s1 emitted 'x = 2000, y = 4000' -- contains the GT answer y=4000 -- but the extractor kept only eq(x,2000). Other samples genuinely scattered (11,000 / 14,000 / parse fail), so partly real instability.",,
65,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,truth span is y = 4000; the answer gives both incomes 18000 and 14000. Model span nan.,True,extraction_issue
67,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model captured d = -2, truth key is a = 3/2. Verified both sit on the SAME page line ('Here, a = 3/2, quad d = ... = -2'), so the extractor split one line rather than the model picking a different one -- incomplete answer, not copied_wrong_line. Supersedes coded_31.",,
67,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,partial multi-answer: the question asks for a = 3/2 AND d = -2; SymPy parses only a.,True,extraction_issue
71,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,Model grabbed pi ~ 3.14159 from an aside; truth final derivative is 1. Parser picked the wrong span.,,
75,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model extracted p, truth r; page conclusion is about collinearity and both labels are bare symbols from prose.",,
75,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"truth span is only R; the conclusion is that P, Q, R are collinear.",True,extraction_issue
76,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
76,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,both spans extracted only zx against the full polynomial.,True,extraction_issue
77,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,tiny span but a valid table cell -- the item target is that coefficient.,True,extraction_ok
78,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
79,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
81,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,Image final answer is 40pi cm^2/s and the model says 40pi cm^2/s -- model correct. The GROUND-TRUTH parser selected the intermediate r = 10 cm instead.,,
82,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model 0.488, truth 0.488000... -- same value, float formatting.",,
83,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,needs_visual,indeterminate,medium,"Bad handwriting, could not be read.",,
83,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,model span nan; truth span keeps only P(B wins). Answer has both 6/11 and 5/11.,True,extraction_issue
84,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,FALSE PASS: model and truth both collapsed to the constant c; the final answer is the full equation tan^-1(y) = tan^-1(x) + c.,,
84,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"span is only C, the integration constant; the answer is tan^-1 y = tan^-1 x + C.",True,extraction_issue
85,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
86,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
88,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
89,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"GT took 'x = 1' out of a 4-number sentence; s1 and s2 emitted eq(x,1) and matched, but majority (3/5) was '[1, 5]'. The sentence offers several extractable spans.",,
89,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"model span is the interval [1,5], truth span x=1; the answer is max 56 and min 24.",True,extraction_issue
90,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
91,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
91,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
92,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
93,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"MCQ, same as item 25: GT label is 'option d', model gave the value 2540 (which is correct, and is the page's own figure). s0 emitted 'option d' and matched. Pixtral correct.",,
94,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,notation_misread,wrong,high,Model 5^n + 6^n vs truth 5*n + 6**n -- exponent vs product misread.,,
95,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,true_correct,correct,high,"RECODED 2026-08-13 (was needs_visual, 'bad handwriting, could not be read'): the model span (2x - y + z)(2x - y + z) and the truth span (2x - y + z)^2 are equivalent, and the handwritten final answer is correct on a second read. The truth span is itself damaged -- \textcolor{red}{(2x - y + z(2x - y + z)} is missing a closing paren -- which is why label T fell to the text tier and the comparison failed. strict_v1 says WRONG, so this is a FALSE FAIL (FN), not a TP.",,
96,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
97,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
98,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
99,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"eq(x**2, 4*(2*x)) vs eq(x**2, 8*x) -- identical, SymPy left the product unevaluated. Already one of the 3 known Qwen equivalence cases (99, 151, 208). User reading confirmed.",,
99,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,final answer x^2 = 8x matches; truth span carries the derivation form 4(2)x.,True,extraction_ok
100,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
101,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,medium,GT destroyed by the decimal split: '23152.5 square meters' -> '5 square meters}'. Model samples genuinely scattered. This is the documented false-pass item that the decimal fix removes.,,
102,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
102,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
103,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,notation_misread,wrong,medium,Model output does not match the set/equation answer.,,
103,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"truth span is the conclusion A-B != B-A, not the requested set differences.",True,extraction_issue
104,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
105,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
106,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,FALSE PASS: model and truth extracted a symbolic fragment that is not the final answer visible on the page.,,
106,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,explanatory span; the answer is the squares 39^2 = 1521 and 42^2 = 1764.,True,extraction_issue
107,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,medium,"HUMAN FINAL (image re-read): model and truth both carry 392 and the same final statement, so this is mainly a parser/scoring issue, not a wrong final answer. GT span is the bare '}'. Caveat retained: s0 read the divisor as 11 and s2 as 6 where the page says 4, so a secondary misread sits under the extraction failure.",,
107,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"model span is an explanatory sentence, truth span is parse junk. Answer: 392 is not a perfect cube, multiply by 7.",True,extraction_issue
108,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,notation_misread,wrong,medium,Model equation coefficients do not match truth. (Also the item Math-Verify wrongly accepts -- y^2/(9/4) vs y^2/(11/4).),,
108,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,equivalent hyperbola forms; flagged as an algebraic-equivalence/partial-span case.,True,extraction_ok
110,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
112,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,"Incomplete: the formula was captured but the condition t != -1/2 is missing, so the final answer is not fully stated.",,
112,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
113,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
114,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,SymPy derivative labels are messy expressions and are not reliable as the full final answer.,,
114,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
116,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,"final solution y in [8, inf) matches; SymPy formatting odd but visually fine.",True,extraction_ok
117,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,"KNOWN FALSE PASS (calibration item, caught): both sides collapsed to 'p', which is not the final answer.",,
117,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,"span complete on both sides; SymPy collapses to p. FALSE PASS under strict_v1, recovered by strict_v2.",True,extraction_ok
119,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"Model emitted the chain 'p(r) = 1 - p(s) = 1 - 0.62 = 0.38'; GT is eq(p(r),0.38). Same value, chain vs final term. User reading confirmed.",,
120,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"Model emitted the full chain ending '= 948'; s4 emitted bare 948 and matched. Both say 948, as user read.",,
120,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
121,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
122,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
123,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
123,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
124,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
125,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"GT collapsed '0, 0, 1' to 'sympy:0'. Model's sentence reproduces the page exactly (b-axis 0,1,0 and c-axis 0,0,1). Model matches the image; the GT label is the artifact.",,
125,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,"direction cosines for all three axes; truth span keeps only (0,0,1).",True,extraction_ok
126,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,needs_visual,indeterminate,medium,"Model failed to parse/give an answer. No parse_failure label exists, so recorded as needs_visual. Supersedes coded_31's extraction_issue. Note: s3 did emit eq(y/4-7,3), matching truth, while s0 and s2 parse-failed.",,
126,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,needs_visual,indeterminate,high,parse failure -- nothing usable to judge.,True,needs_visual
127,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,FALSE PASS: both collapsed to the symbol f; the handwritten answer is a full statement about the continuity of f.,,
127,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
130,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"Same physical quantity, different span: GT took '1/21' (km), model took '47.62' from the red sentence 'approximately 47.62 meters'. 1/21 km = 47.6 m. User reading confirmed.",,
131,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,notation_misread,wrong,medium,"Model wrote 'cos 90 - 0' where the page has 'cos 90 = 0'. Separately it OMITTED the red injected step cos(-1710+1700) entirely -- a candidate auto-correction instance, recorded but not claimed (the aggregate effect is unresolved).",,
132,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,high,"true_correct WITH A SYMPY PARTIAL-PARSE CAVEAT: both spans carry the full 'x = 3, y = 1', but SymPy encoded only eq(x, 3) and dropped y = 1. Correct here, risky in general.",,
132,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,high,"spans give x = 3, y = 1; SymPy keeps only eq(x,3).",True,extraction_ok
136,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model 90000, truth 90000 -- same value, formatting.",,
137,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
138,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
138,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
140,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
140,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
141,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
142,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,medium,Model parse failed; page final expression is present. Recorded as extraction_issue since no parse_failure label exists.,,
142,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,parse failure; recorded as extraction_issue for consistency with coded_73.,True,extraction_issue
143,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
144,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model says the mode is 2, truth is 2 -- scorer compared surrounding prose.",,
144,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
145,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,Both mean 10pi; units/format differ.,,
