item,final_label,confidence,note
217,extraction_issue,high,"Model b = 33/4, truth 33/4 -- same value, variable included in the span."
218,extraction_issue,high,"Model says Option A, truth parser mangled the key to bare 'a' via the _OPTION_RE bug. Same answer."
220,extraction_issue,high,"Both describe {(x,y,z): x,y,z in R}; verified s1 differs from truth only by \mathbb{r} vs r. Supersedes coded_31's notation_misread."
222,notation_misread,high,"Model says 18; image/truth final lists multiple orders {1x8, 8x1, 2x4, 4x2}. Incomplete answer."
224,extraction_issue,medium,Model label 'beta'; truth is prose about primes. Parser grabbed the wrong fragment/symbol.
230,notation_misread,high,Model says x^2 = 4z^2 but image/truth final is x^2 = 8z. Not equivalent -- a real misread.
236,extraction_issue,medium,Model parse failed; truth parser grabbed formula/prose rather than a clean final answer. User noted needs_visual would also be acceptable.
237,extraction_issue,medium,Model says x = 3; truth parser kept only b. Parser compared wrong fragments of a matching problem.
238,extraction_issue,medium,"Model 57, truth -8<0; page conclusion is 'no real roots'. Parser/model grabbed intermediate values. User note: if the model's actual final answer were only 57 this would be notation_misread, but the page reads as a parser-side intermediate."
241,extraction_issue,medium,"Model n = -4/3, truth r = -4/3 -- same value, variable-symbol mismatch from the parser."
246,extraction_issue,high,Model parser kept only x; truth is the equation 3x + 5 = 44. Parser grabbed the wrong fragment.
249,extraction_issue,medium,Same derivative idea on both sides; parser compared different expressions.
251,notation_misread,high,"Model says {1, -2}, truth/image says {y, -2} -- symbol mismatch."
253,extraction_issue,high,"Same expression, different LaTeX formatting around sqrt(3)."
255,notation_misread,high,Model gives the range 86 < f < 95; image/truth final is 91F < F < 94F. Real number mismatch.
262,notation_misread,high,"Model says 442, image/truth says 91. Real value mismatch."
263,extraction_issue,medium,"Both compare different variable equalities; page final includes x = x2, y = 2, z = k1. Parser grabbed partial pieces."
265,extraction_issue,high,"Model y = 13, truth 13 -- same answer with the variable included in the span."
269,extraction_issue,high,Model x = 49/29; truth parser kept only x. The model gives the actual value.
273,extraction_issue,high,"QWEN-SCOPED, and it does NOT retract the Pixtral auto-correction observation. Verified: page says 'outcomes favourable to E is 3' then P(E) = 2/4 (red 2 = injected error); GT label sympy:2/4. On Qwen the majority label is the bare '}' with s4 giving a faithful 2/4 and s1 giving 3/4 -- so extraction_issue is right for Qwen. On PIXTRAL all five samples give 3/4 unanimously, which is the auto-correction anecdote CLAUDE.md records; that is a different model and is untouched by this reading."
274,extraction_issue,high,Model gives the full probability formula/answer; truth parser kept only f. Parser grabbed different parts.
277,extraction_issue,high,"Model 3sqrt(3), truth 3sqrt(3) units -- same value, unit formatting."
296,extraction_issue,medium,Same integral idea; parser compared variable/form differences.
297,extraction_issue,medium,Model formula is messy but page/truth final is 3/20; parser likely grabbed too much of the expression.
298,extraction_issue,medium,"Model says '2 and ...'; truth says '2 and y = 3'. Partly matching, parser compared incomplete text."
299,extraction_issue,high,"Model label Z, truth label R; image conclusion is that R is an equivalence relation on Z. Parser compared isolated symbols instead of the conclusion."
