item_id,mcq_group,presort,heuristic_mcq_like,has_error,strict_v1_correct,strict_v2_correct,entropy,span_m_disp,span_t_disp,label_m,label_t,model_tier,truth_tier,flags,option_word_in,flagged_by_weak_trigger_only,question_has_choice_list,paren_letters_match,question_head,contact_sheet_file,contact_sheet_cell,confirmed_mcq,reviewer_note,coding_depth,mcq_type
141,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,Which one of the following is not a prime number? \begin{itemize} \item[A)] 31 \item[B)] 61 \item[C)] 71 \item[D)] 91 \end{itemize},mcq_flagged_p3.png,9,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
143,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"A, B and C can do a piece of work in 20, 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day? \begin",mcq_flagged_p4.png,1,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
146,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.9502705392332348,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"A boat running upstream takes 8 hours 48 minutes to cover a certain distance, while it takes 4 hours to cover the same distance running downstream. What is the ",mcq_flagged_p4.png,2,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
153,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is: \begin{enumerate} \item[A)] 75 cu. m \item[B)] 750 cu. m \item[C)]",mcq_flagged_p4.png,3,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
154,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by: \begin{enumerate} \item 60 m \item 40 m \",mcq_flagged_p4.png,4,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
173,flagged_mcq_like,option_word_and_choice_list,True,True,False,False,0.5004024235381879,2x = 10,option d,"sympy:eq(2*x, 10)",text:option d,display_math,option,mcq_option,"truth_span,answer_field",False,True,,"A is two years older than B who is twice as old as C. If the total of the ages of A, B, and C is 27, then how old is B? \begin{enumerate} \item[A:] 7 \item[B:] ",mcq_flagged_p4.png,5,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
178,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. ",mcq_flagged_p4.png,6,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
196,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"Running at the same constant rate, 6 identical machines can produce a total of 270 bottles per minute. At this rate, how many bottles could 10 such machines pro",mcq_flagged_p4.png,7,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
201,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.6730116670092565,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,Evaluate: \(\frac{(2.39)^2 - (1.61)^2}{2.39 - 1.61}\) \begin{enumerate} \item[A)] 2 \item[B)] 4 \item[C)] 6 \item[D)] 8 \end{enumerate},mcq_flagged_p4.png,8,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
205,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.9502705392332348,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,An accurate clock shows 8 o'clock in the morning. Through how many degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon? \begin{enu,mcq_flagged_p4.png,9,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
213,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"At a game of billiards, A can give B 15 points in 60 and A can give C to 20 points in 60. How many points can B give C in a game of 90? \begin{enumerate} \item ",mcq_flagged_p5.png,1,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
214,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case. \begin{itemize} \item[A)] 4 \item[B)] 7 \item[C)] 9 \it",mcq_flagged_p5.png,2,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
218,flagged_mcq_like,option_word_and_choice_list,True,True,False,False,0.0,option a,\text{A},text:option a,sympy:a,option,display_math,"mcq_option,tiny_valid_mcq",answer_field,False,True,,"5. 6, 9, 15, 21, 24, 28, 30 \begin{itemize} \item[$\text{A}$] 28 \item[$\text{B}$] 21 \item[$\text{C}$] 24 \item[$\text{D}$] 30 \end{itemize}",mcq_flagged_p5.png,3,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
226,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"Reena took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, wha",mcq_flagged_p5.png,4,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
233,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"In a box, there are 8 red, 7 blue and 6 green balls. One ball is picked up randomly. What is the probability that it is neither red nor green? \begin{itemize} \",mcq_flagged_p5.png,5,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
247,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is: \begin{itemize} \item[A)] Rs. 650 \item[B)] Rs. 690 \item,mcq_flagged_p5.png,6,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
252,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"In one hour, a boat goes 11 km/hr along the stream and 5 km/hr against the stream. The speed of the boat in still water (in km/hr) is: \begin{enumerate} \item[A",mcq_flagged_p5.png,7,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
261,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.9502705392332348,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,The banker's gain on a sum due 3 years hence at 12\% per annum is Rs. 270. The banker's discount is: \begin{enumerate} \item[A)] Rs. 960 \item[B)] Rs. 840 \item,mcq_flagged_p5.png,8,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
266,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.6730116670092565,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,The price of 10 chairs is equal to that of 4 tables. The price of 15 chairs and 2 tables together is Rs. 4000. The total price of 12 chairs and 3 tables is: \be,mcq_flagged_p5.png,9,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
267,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of t",mcq_flagged_p6.png,1,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
268,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"If \( a - b = 3 \) and \( a^2 + b^2 = 29 \), find the value of \( ab \). \begin{enumerate} \item[A)] 10 \item[B)] 12 \item[C)] 15 \item[D)] 18 \end{enumerate}",mcq_flagged_p6.png,2,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
270,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through: \begin{enumerate} \item[A)] 145° \item[B)] 150° \item[C)] 155° \item[D)] 160",mcq_flagged_p6.png,3,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
283,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.5004024235381879,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"Given that \( 10^{0.48} = x \), \( 10^{0.70} = y \) and \( x^z = y^2 \), then the value of \( z \) is close to: \begin{enumerate} \item[A)] 1.45 \item[B)] 1.88 ",mcq_flagged_p6.png,4,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
286,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.9502705392332348,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"A is two years older than B who is twice as old as C. If the total of the ages of A, B, and C is 27, then how old is B? \begin{enumerate} \item[A:] 7 \item[B:] ",mcq_flagged_p6.png,5,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
292,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.5004024235381879,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,"A can do a work in 15 days and B in 20 days. If they work on it together for 4 days, then the fraction of the work that is left is: \begin{enumerate} \item[A)] ",mcq_flagged_p6.png,6,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
8,flagged_mcq_like,option_word_only,True,True,False,False,1.6094379124341005,"\begin{aligned}
& \frac{4}{15}A = \frac{2}{5}B \\
& \Rightarrow A = \left(\frac{2}{5} \times \frac{15}{4}\right)B \\
& \Rightarrow A = \frac{8}{4}B \\
& \Rightarrow \frac{A}{B} = \frac{8}{4} \\
& \therefore A : B = 8 : 4 \\
& B's \ Share = Rs. \quad \left(1210 \times \frac{4}{15}\right) = Rs. 403.33
\end{aligned}",option b,text:\begin{aligned} \frac{4}{15}a = \frac{2}{5}b \rightarrow a = (\frac{2}{5} \times \frac{15}{4})b \rightarrow a = \frac{8}{4}b \rightarrow \frac{a}{b} = \frac{8}{4} \therefore a : b = 8 : 4 b's \ share = rs. (1210 \times \frac{4}{15}) = rs. 403.33 \end{aligned},text:option b,display_math,option,"mcq_option,text_conclusion","truth_span,answer_field",False,False,,"A and B together have Rs. 1210. If \(\frac{4}{15}\) of A's amount is equal to \(\frac{2}{5}\) of B's amount, how much amount does B have?",mcq_flagged_p6.png,7,yes,"answer says 'option b' but the options are NOT VISIBLE in this crop, so the letter is unrecoverable from the image by any reader. [id reconciled and CONFIRMED by the coder 2026-08-12: they wrote 'item 41'; item 41 of this run is an ellipse-equation item with no options that was never on any sheet, while item 8 is the ONLY option_word_only item and its truth span is literally 'option b'. Confirmation stands unless another sheet proves otherwise.]",item_by_item,options_not_visible_in_crop
170,flagged_mcq_like,choice_list_only,True,False,False,False,0.5004024235381879,"Finally, (iv) matches (b)",(b),"text:finally, (iv) matches (b)",sympy:b,last_line,display_math,"mcq_option,tiny_valid_mcq,multi_value_answer",,True,True,"(d)$. Similarly, $(ii)$ matches $(c)",\textbf{Question} Match each of the set on the left described in the roster form with the same set on the right described in the set-builder form: \begin{enumer,mcq_flagged_p6.png,8,yes,"matching question: left (i)-(iv) to right (a)-(d); answer maps (i)->(d),(ii)->(c),(iii)->(a),(iv)->(b). NOT option-pick",item_by_item,matching
237,flagged_mcq_like,choice_list_only,True,True,False,False,0.6730116670092565,"x = 3, -3",(b),"sympy:eq(x, 3)",sympy:b,display_math,display_math,"mcq_option,tiny_valid_mcq",,True,True,"(d)$. Similarly, $(ii)$ matches $(c)",\textbf{Question} Match each of the set on the left described in the roster form with the same set on the right described in the set-builder form: \begin{enumer,mcq_flagged_p6.png,9,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,matching
82,flagged_mcq_like,paren_letters_only,True,False,False,False,1.3321790402101223,= 0.488,0.488,text:= 0.488,sympy:0.488000000000000,display_math,display_math,,,True,False,(A) = P(B),"A person has undertaken a construction job. The probabilities are 0.65 that there will be a strike, 0.80 that the construction job will be completed on time if ",mcq_flagged_p7.png,1,no,"probability word problem; (A) is event notation, not option A",item_by_item,
117,flagged_mcq_like,paren_letters_only,True,True,True,False,0.9502705392332348,P(A|B) = \frac{P(ADB)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \frac{4 \times 13}{9 \times 13} = \frac{4}{9},P(A|B) = \frac{P(A \cap B)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \textcolor{red}{\frac{4 \times 13}{9 \times 13}} = \frac{4}{9}.,sympy:p,sympy:p,display_math,display_math,"set_answer,text_conclusion",,True,False,"(A) = \frac{7}{13} \), \( P(B)","If \( P(A) = \frac{7}{13} \), \( P(B) = \frac{9}{13} \) and \( P(A \cap B) = \frac{4}{13} \), evaluate \( P(A|B) \).",mcq_flagged_p7.png,2,no,probability/set notation; P(A)/P(B) triggered the regex falsely,item_by_item,
195,flagged_mcq_like,paren_letters_only,True,False,True,True,0.0,R,R,sympy:r,sympy:r,display_math,display_math,tiny_valid_mcq,,True,False,(a) = f(b),"Let \( f: X \rightarrow Y \) be a function. Define a relation \( R \) in \( X \) given by \( R = \{(a, b): f(a) = f(b)\} \). Examine whether \( R \) is an equiv",mcq_flagged_p7.png,3,no,"relation/function proof; (a),(b) are variables/pairs, not options",item_by_item,
234,flagged_mcq_like,paren_letters_only,True,True,False,False,1.6094379124341005,&= 1 - P(A)P(B^{'}),= 1 - \textcolor{red}{P(A)} P(B'),text:= 1 - p(a)p(b^{'}),text:= 1 - p(a) p(b'),last_line,display_math,,,True,False,(A) + P(B),"If A and B are two independent events, then the probability of occurrence of at least one of A and B is given by \(1 - P(A') P(B')\).",mcq_flagged_p7.png,4,no,probability derivation; P(A)/P(B) caused a false MCQ trigger,item_by_item,
1,candidate_missed,choice_list_only,False,False,False,False,1.6094379124341005,(-j)(2j)\left(\frac{-1}{8}i\right)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times i^5 = \frac{1}{256}(j^2)^2 = \frac{1}{256}j,\left( -\textcolor{red}{j} \right) \left( 2\textcolor{red}{j} \right) \left( \frac{-1}{8} \textcolor{red}{j} \right)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times \textcolor{red}{j}^5 = \frac{1}{256} (\textcolor{red}{j}^2)^2 = \frac{1}{256} \textcolor{red}{j},text:(-j)(2j)(\frac{-1}{8}i)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times i^5 = \frac{1}{256}(j^2)^2 = \frac{1}{256}j,text:( -j ) ( 2j ) ( \frac{-1}{8} j )^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times j^5 = \frac{1}{256} (j^2)^2 = \frac{1}{256} j,display_math,display_math,text_conclusion,,False,True,,Express the following in the form of \( a + bi \): \begin{enumerate} \item \( \left( -5i \right) \left( \frac{1}{8} i \right) \) \item \( \left( -i \right) \lef,mcq_candidate_missed_p1.png,1,no,multi-part calculation,item_by_item,
4,candidate_missed,choice_list_only,False,False,True,True,1.0549201679861442,y^{(3)},y^{(3)},sympy:y**3,sympy:y**3,display_math,display_math,,,False,True,,"Find the order and degree, if defined, of each of the following differential equations: \begin{enumerate} \item \( \frac{dy}{dx} - \cos x = 0 \) \item \( xy \fr",mcq_candidate_missed_p1.png,2,no,multi-part differential-equation classification,item_by_item,
