item_id,image_path,priority,span_m_disp,span_t_disp,label_m,label_t,strict_v1_correct,strict_v2_correct,rules_disagree,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,final_label,confidence,note,extraction_status,coded_explicitly
165,images/item165.png,high,"(2,1)","(2, 1)","text:(2,1)","text:(2, 1)",False,True,True,False,False,False,False,False,False,True,False,False,False,False,extraction_issue,high,"span is (2,1), part of the condition; the answer is that there are two equivalence relations.",extraction_issue,True
168,images/item168.png,high,"= 154 \, \text{m}^2","= 154 \, \text{m}^2","text:= 154 \, m^2","text:= 154 \, m^2",False,True,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
171,images/item171.png,high,x = \frac{-11}{12}.,x = -\frac{11}{12},"sympy:eq(x, -11/12)","sympy:eq(x, -11/12)",True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
172,images/item172.png,high,a_n = ar^{n-1} = 5(5)^{n-1} = 5^{n-1},a_n = ar^{n-1} = 5(5)^{n-1} = \textcolor{red}{5^{n-1}}.,text:a_n = ar^{n-1} = 5(5)^{n-1} = 5^{n-1},text:a_n = ar^{n-1} = 5(5)^{n-1} = \textcolor{red}{5^{n-1}},False,True,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
179,images/item179.png,high,z = \dfrac{1}{2x^2+1}.,\textcolor{red}{z} = \frac{1}{2x^2 + 1}.,"sympy:eq(z, 1/(2*x**2 + 1))","sympy:eq(z, 1/(2*x**2 + 1))",True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
181,images/item181.png,high,\sin^{-1}(2x\sqrt{1-x^2})=2\cos^{-1}x,\sin^{-1}\left(2x\sqrt{1-x^2}\right) = 2 \cos^{-1} x,"sympy:eq(asin(2*(x*sqrt(1 - x**2))), 2*acos(x))","sympy:eq(asin(2*(x*sqrt(1 - x**2))), 2*acos(x))",True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
183,images/item183.png,high,(1-x^2)\frac{d^2y}{dx^2} - x\frac{dy}{dx} = 0.,(1 - x^2) \frac{d^2 y}{dx^2} - x \frac{dy}{dx} = 0,"sympy:eq(-x*derivative(y, x) + ((d**2*y)/(dx**2))*(1 - x**2), 0)","sympy:eq(-x*derivative(y, x) + ((d**2*y)/(dx**2))*(1 - x**2), 0)",True,False,True,False,True,False,False,False,False,False,False,False,True,False,true_correct,high,SymPy mangles the second derivative; the span is right and identical both sides.,extraction_ok,True
192,images/item192.png,high,2x^{2} - 5x + 3 = 0,2x^2 - 5x + 3 = 0,"sympy:eq((2*x**2 - 5*x) + 3, 0)","sympy:eq((2*x**2 - 5*x) + 3, 0)",True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
204,images/item204.png,high,&= 11310,= \textcolor{red}{11310},text:= 11310,text:= 11310,True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
206,images/item206.png,high,\frac{1}{2},\frac{1}{2},sympy:1/2,sympy:1/2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
225,images/item225.png,high,\frac{dS}{dt} = \frac{36}{10} = 3.6 \text{ cm}^2/\text{s},"\frac{dS}{dt} = \frac{36}{10} = 3.6 \, \text{cm}^2/\text{s}",text:\frac{ds}{dt} = \frac{36}{10} = 3.6 cm^2/s,"text:\frac{ds}{dt} = \frac{36}{10} = 3.6 \, cm^2/s",False,True,True,False,False,False,False,False,False,False,False,False,True,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
232,images/item232.png,high,\frac{1}{3^{-2}} \: = \frac{1}{3 \times (-2)} \: = \frac{1}{-6},\frac{1}{3^{-2}} = \frac{1}{3 \times (-2)} = \textcolor{red}{\frac{1}{-6}},text:\frac{1}{3^{-2}} \: = \frac{1}{3 \times (-2)} \: = \frac{1}{-6},text:\frac{1}{3^{-2}} = \frac{1}{3 \times (-2)} = \textcolor{red}{\frac{1}{-6}},False,True,True,False,False,False,False,False,False,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
239,images/item239.png,high,L.H.S = 9e^{-3x} + (-3e^{-3x}) - 6e^{-3x} = 9e^{-3x} - 9e^{-3x} = 0 = R.H.S.,\text{L.H.S.} = 9 e^{-3x} + (-3e^{-3x}) - 6e^{-3x} = 9 e^{-3x} - 9 e^{-3x} = 0 = \text{R.H.S.}.,sympy:l,sympy:l,True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,high,SymPy says l; span M is the correct full L.H.S. verification.,extraction_ok,True
258,images/item258.png,high,\frac{63}{25} + \frac{16}{25}i,\frac{63}{25} + \frac{16}{25} i.,sympy:(16/25)*i + 63/25,sympy:(16/25)*i + 63/25,True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
272,images/item272.png,high,S_5 = 3\left(1-\left(\frac{2}{3}\right)^5\right) = 3\times \frac{211}{243} = \frac{121}{81},S_5 = 3\left(1 - \left(\frac{2}{3}\right)^5\right) = 3 \times \frac{211}{243} = \textcolor{red}{\frac{121}{81}}.,text:s_5 = 3(1-(\frac{2}{3})^5) = 3\times \frac{211}{243} = \frac{121}{81},text:s_5 = 3(1 - (\frac{2}{3})^5) = 3 \times \frac{211}{243} = \textcolor{red}{\frac{121}{81}},False,True,True,False,False,False,False,False,False,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
275,images/item275.png,high,\frac{ds}{dt} = \frac{36}{10} = 3.6 \text{ cm}^2 \text{/s},"\frac{dS}{dt} = \frac{36}{10} = 3.6 \, \text{cm}^2/\text{s}",text:\frac{ds}{dt} = \frac{36}{10} = 3.6 cm^2 /s,"text:\frac{ds}{dt} = \frac{36}{10} = 3.6 \, cm^2/s",False,True,True,False,False,False,False,False,False,False,False,False,True,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
280,images/item280.png,high,= 11130 \text{ cm},"= \textcolor{red}{11130 \, \text{cm}}",text:= 11130 cm,"text:= 11130 \, cm",False,True,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
284,images/item284.png,high,256=2^8,256 = 2^8,text:256=2^8,text:256 = 2^8,False,True,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
288,images/item288.png,high,|\vec{a}+\vec{b}+\vec{c}|=\sqrt{77}=\sqrt{77},|\vec{a} + \vec{b} + \vec{c}| = \sqrt{\textcolor{red}{77}} = \textcolor{red}{\sqrt{77}},text:|\vec{a}+\vec{b}+\vec{c}|=\sqrt{77}=\sqrt{77},text:|\vec{a} + \vec{b} + \vec{c}| = \sqrt{77} = \textcolor{red}{\sqrt{77}},False,True,True,False,False,False,False,False,False,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
293,images/item293.png,high,V = 7546 \text{ cm}^{3},"V = 7546 \, \text{cm}^3","sympy:eq(v, 7546*(c*m**3))","sympy:eq(v, 7546*(c*m**3))",True,False,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
294,images/item294.png,high,&= -\frac{1 \times 7}{3 \times 7} &= -\frac{18}{17},"-\frac{5}{15}, \quad -\frac{1 \times 6}{3 \times 6}, \quad -\frac{6}{18}, \quad -\frac{1 \times 7}{3 \times 7} = \textcolor{red}{-\frac{2}{17}}.",text:= -\frac{1 \times 7}{3 \times 7} = -\frac{18}{17},sympy:-5/15,True,False,True,False,False,False,False,False,False,False,False,False,False,True,extraction_issue,high,"multi-answer collapse: the pattern needs four terms, span/label keep only -5/15.",extraction_issue,True
12,images/item012.png,high,y = 1,"x = 3, \, y = 1","sympy:eq(y, 1)","sympy:eq(x, 3)",False,False,False,True,False,False,False,False,True,False,False,True,False,False,extraction_issue,high,both span and SymPy give y = 1 and drop x = 3.,extraction_issue,True
63,images/item063.png,high,(1),"\textcolor{red}{t}^2 + \textcolor{red}{z}^2 + 2\textcolor{red}{t} - 4\textcolor{red}{z} + C = 0, \text{ where } C = 2C_1",sympy:1,"sympy:eq(c + (-4*z + (2*t + (t**2 + z**2))), 0)",False,False,False,True,False,False,False,False,True,False,False,True,False,False,extraction_issue,high,"span is (1), an equation reference number, not the general solution.",extraction_issue,True
75,images/item075.png,high,"P,Q,R",R,sympy:p,sympy:r,False,False,False,False,False,True,False,False,True,True,False,False,False,False,extraction_issue,high,"truth span is only R; the conclusion is that P, Q, R are collinear.",extraction_issue,True
10,images/item010.png,high,2,2,sympy:2,sympy:2,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
33,images/item033.png,high,"Therefore, -2 is a zero of the polynomial x + 2, but 2 is not",2,"text:therefore, -2 is a zero of the polynomial x + 2, but 2 is not",sympy:2,False,False,False,False,False,False,False,False,True,True,False,False,False,True,extraction_issue,high,truth span is only 2; the conclusion is that -2 is a zero and 2 is not.,extraction_issue,True
35,images/item035.png,high,"(-4, -5)",7,"text:(-4, -5)",sympy:7,False,False,False,False,False,False,False,False,True,True,False,False,False,False,extraction_issue,high,"both halves incomplete: model span has the centre (-4,-5), truth span only the radius 7.",extraction_issue,True
40,images/item040.png,high,,\textcolor{red}{y},<parse_failure>,sympy:y,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,model span is nan; the final answer is y = 7.,extraction_issue,True
54,images/item054.png,high,"Therefore, 243 is not a perfect cube",243,"text:therefore, 243 is not a perfect cube",sympy:243,False,False,False,False,False,False,False,False,True,True,False,False,False,True,extraction_issue,high,truth span is only 243; the conclusion is that 243 is not a perfect cube.,extraction_issue,True
65,images/item065.png,high,,y = 4000,<parse_failure>,"sympy:eq(y, 4000)",False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,truth span is y = 4000; the answer gives both incomes 18000 and 14000. Model span nan.,extraction_issue,True
76,images/item076.png,high,zx,zx,sympy:x*z,sympy:x*z,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,both spans extracted only zx against the full polynomial.,extraction_issue,True
77,images/item077.png,high,m,m,sympy:m,sympy:m,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,high,tiny span but a valid table cell -- the item target is that coefficient.,extraction_ok,True
83,images/item083.png,high,,P(B \text{ wins}) = 1 - P(A \text{ wins}) = 1 - \frac{6}{11} = \frac{5}{11},<parse_failure>,text:p(b wins) = 1 - p(a wins) = 1 - \frac{6}{11} = \frac{5}{11},False,False,False,False,False,False,False,False,True,False,False,False,False,True,extraction_issue,high,model span nan; truth span keeps only P(B wins). Answer has both 6/11 and 5/11.,extraction_issue,True
84,images/item084.png,high,c,C,sympy:c,sympy:c,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,"span is only C, the integration constant; the answer is tan^-1 y = tan^-1 x + C.",extraction_issue,True
89,images/item089.png,high,"[1, 5]",x = 1,"text:[1, 5]","sympy:eq(x, 1)",False,False,False,False,False,False,False,False,True,True,False,False,False,False,extraction_issue,high,"model span is the interval [1,5], truth span x=1; the answer is max 56 and min 24.",extraction_issue,True
91,images/item091.png,high,4^n,4^n,sympy:4**n,sympy:4**n,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
102,images/item102.png,high,f,f,sympy:f,sympy:f,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
107,images/item107.png,high,"Interestingly, the number 392 is also divisible by 11 and 98, but this fact does not affect whether it is a perfect cube",},"text:interestingly, the number 392 is also divisible by 11 and 98, but this fact does not affect whether it is a perfect cube",text:},False,False,False,False,False,False,False,False,True,True,False,False,False,True,extraction_issue,high,"model span is an explanatory sentence, truth span is parse junk. Answer: 392 is not a perfect cube, multiply by 7.",extraction_issue,True
120,images/item120.png,high,S_{24} = \frac{24}{2} [2 \times 5 + (24 - 1) \times 3] = 12 [10 + 69] = 948,\textcolor{red}{948},text:s_{24} = \frac{24}{2} [2 \times 5 + (24 - 1) \times 3] = 12 [10 + 69] = 948,sympy:948,False,False,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
123,images/item123.png,high,x = 4,x = \textcolor{red}{4},"sympy:eq(x, 4)","sympy:eq(x, 4)",True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
126,images/item126.png,high,,\frac{y}{4} - 7 = 3.,<parse_failure>,"sympy:eq(y/4 - 7, 3)",False,False,False,False,False,False,False,False,True,False,False,False,False,False,needs_visual,high,parse failure -- nothing usable to judge.,needs_visual,True
127,images/item127.png,high,f,f,sympy:f,sympy:f,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
138,images/item138.png,high,f+g,f + g,sympy:f + g,sympy:f + g,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
140,images/item140.png,high,x = 1,x = 1,"sympy:eq(x, 1)","sympy:eq(x, 1)",True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
142,images/item142.png,high,,(3x + 5y),<parse_failure>,sympy:3*x + 5*y,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,parse failure; recorded as extraction_issue for consistency with coded_73.,extraction_issue,True
144,images/item144.png,high,The mode of this data is 2 because it occurs more frequently than other observations,2,text:the mode of this data is 2 because it occurs more frequently than other observations,sympy:2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
148,images/item148.png,high,"Therefore, 301 is not a term of the given list of numbers",n,"text:therefore, 301 is not a term of the given list of numbers",sympy:n,False,False,False,False,False,False,False,False,True,True,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
151,images/item151.png,high,\frac{15}{2} = \frac{8+q}{2},\textcolor{red}{q} = 7,"sympy:eq(15/2, (q + 8)/2)","sympy:eq(q, 7)",False,False,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
160,images/item160.png,high,x = 5,\textcolor{red}{z} = 5,"sympy:eq(x, 5)","sympy:eq(z, 5)",False,False,False,False,False,False,False,False,True,False,False,False,False,False,true_wrong,high,"MODEL WRONG: wrote x = 5 where the page says z = 5. Logged by the coder as '150', which is not in the sheet.",extraction_ok,True
166,images/item166.png,high,AB,= \begin{bmatrix} 75 & 117 & 72 \\ 25 & 39 & 24 \end{bmatrix}.,sympy:a*b,text:= \begin{bmatrix} 75 117 72 25 39 24 \end{bmatrix},False,False,False,False,False,False,False,False,True,False,False,False,False,True,true_wrong,high,MODEL WRONG: the model does not handle the matrix product. Span AB vs the full result matrix.,extraction_ok,True
176,images/item176.png,high,x = 4,\frac{1}{3} \times \frac{12}{x - 8} = -1 \quad \textcolor{red}{\text{Assuming } x > 0} \quad \textcolor{red}{\text{or} \quad x = 4}.,"sympy:eq(x, 4)",text:\frac{1}{3} \times \frac{12}{x - 8} = -1 assuming x > 0 or x = 4,False,False,False,False,False,False,False,False,True,False,False,False,False,True,extraction_issue,high,incomplete extraction -- span gives only x = 4.,extraction_issue,True
180,images/item180.png,high,zx,zx,sympy:x*z,sympy:x*z,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,both spans extracted only zx against the full polynomial.,extraction_issue,True
199,images/item199.png,high,y = \frac{21}{3} = 7,7,text:y = \frac{21}{3} = 7,sympy:7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
209,images/item209.png,high,The perimeter of the park is 1600 m,},text:the perimeter of the park is 1600 m,text:},False,False,False,False,False,False,False,False,True,False,False,False,False,True,extraction_issue,high,model is correct; the labels are wrong.,extraction_issue,True
223,images/item223.png,high,R_1,R_1,sympy:r_{1},sympy:r_{1},True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
229,images/item229.png,high,t = 1,\textcolor{red}{t} = 1,"sympy:eq(t, 1)","sympy:eq(t, 1)",True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
243,images/item243.png,high,"Therefore, R is an equivalence relation",R,"text:therefore, r is an equivalence relation",sympy:r,False,False,False,False,False,False,False,False,True,True,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
244,images/item244.png,high,B',\textcolor{red}{B'},sympy:b',sympy:b',True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
246,images/item246.png,high,x,\textcolor{red}{3x + 5} = 44,sympy:x,"sympy:eq(3*x + 5, 44)",False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,"model could not extract the equation, span is just x.",extraction_issue,True
250,images/item250.png,high,R,R,sympy:r,sympy:r,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,"span is only R; the conclusion is that P, Q and R are collinear.",extraction_issue,True
254,images/item254.png,high,2^4,2^4,sympy:2**4,sympy:2**4,True,True,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
265,images/item265.png,high,y = 13,13,"sympy:eq(y, 13)",sympy:13,False,False,False,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
269,images/item269.png,high,x = \frac{49}{29},x,"sympy:eq(x, 49/29)",sympy:x,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,"model correct, label wrong.",extraction_issue,True
271,images/item271.png,high,25,\left( \frac{2}{3} \right)^{-2} = \frac{2^{-2}}{3^{-2}} = \frac{3^{2}}{2^{2}} = \frac{9}{4} = \textcolor{red}{2.25},sympy:25,text:( \frac{2}{3} )^{-2} = \frac{2^{-2}}{3^{-2}} = \frac{3^{2}}{2^{2}} = \frac{9}{4} = 2.25,False,False,False,False,False,False,False,False,True,False,False,False,False,True,true_wrong,high,MODEL WRONG: misread the final result. Span 25 against the full power expression.,extraction_ok,True
273,images/item273.png,high,},\frac{\textcolor{red}{2}}{4},text:},sympy:2/4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,"model read nothing usable, span is }.",extraction_issue,True
274,images/item274.png,high,P(E \cap F) = P(E) \cdot P(F),F,"sympy:eq(p(e*(cap*f)), p(e)*p(f))",sympy:f,False,False,False,False,False,False,False,False,True,False,True,False,False,False,extraction_issue,high,model correct; labels incomplete.,extraction_issue,True
276,images/item276.png,high,"Therefore, 243 is not a perfect cube",243,"text:therefore, 243 is not a perfect cube",sympy:243,False,False,False,False,False,False,False,False,True,True,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
282,images/item282.png,high,c,C,sympy:c,sympy:c,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,neither side extracted the full equation.,extraction_issue,True
289,images/item289.png,high,B,B,sympy:b,sympy:b,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,span is only B; the answer is set equality/non-equality.,extraction_issue,True
291,images/item291.png,high,x,x,sympy:x,sympy:x,True,True,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,"span is only x; the conclusion is no unique value, infinitely many solutions.",extraction_issue,True
299,images/item299.png,high,Z,R,sympy:z,sympy:r,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extraction_issue,high,span is only R; the conclusion is that R is an equivalence relation.,extraction_issue,True
27,images/item027.png,high,"4x = 3, \quad 3x - y = -6.","\textcolor{red}{4x = 3, \quad 3x - y = -6.}","sympy:eq(4*x, 3)","sympy:eq(4*x, 3)",True,True,False,True,False,False,False,False,False,False,True,True,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
47,images/item047.png,high,x = 2 \quad \text{and} \quad y = 3.,"x = \textcolor{red}{2 \, \text{cm}} \quad \text{and} \quad y = \textcolor{red}{3 \, \text{cm}}.",text:x = 2 and y = 3,"text:x = 2 \, cm and y = 3 \, cm",False,False,False,True,False,False,False,False,False,False,False,True,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
67,images/item067.png,high,d = \frac{1}{2} - (-\frac{3}{2}) = -2,"a = \frac{3}{2}, \quad d = \frac{1}{2} - \left(-\frac{3}{2}\right) = \textcolor{red}{-2}.",text:d = \frac{1}{2} - (-\frac{3}{2}) = -2,"sympy:eq(a, 3/2)",False,False,False,True,False,False,False,False,False,False,False,True,False,True,extraction_issue,high,partial multi-answer: the question asks for a = 3/2 AND d = -2; SymPy parses only a.,extraction_issue,True
