item,final_label,confidence,note
131,notation_misread,medium,"Model wrote 'cos 90 - 0' where the page has 'cos 90 = 0'. Separately it OMITTED the red injected step cos(-1710+1700) entirely -- a candidate auto-correction instance, recorded but not claimed (the aggregate effect is unresolved)."
155,notation_misread,high,"Matrix read column-wise as fractions: s2 = 'y = [1/0, -2/5]' for the matrix [[1,-2],[0,5]]. s3 got the digits but not the shape. Genuine structural misread, as user suspected."
173,extraction_issue,high,"HUMAN FINAL (image re-read): model gives 2x = 10, the worked value, while the ground-truth key is Option D -- a value-vs-option-key scoring mismatch, not copied_wrong_line. s2 emitted 'option d' and matched. Pixtral correct on this item."
176,extraction_issue,high,"Unanimous eq(x,4) across all 5 samples, entropy 0. GT kept the whole display line including 'Assuming x > 0 or x = 4'. Model correct. Already documented as an unanimous-and-wrong scoring failure."
193,notation_misread,high,"HUMAN FINAL (image re-read), OVERRULES the text-only reading: the model label uses 49*49 where the image needs 4.9*4.9, so this is a real decimal/notation miss. Recorded for completeness: s1/s3/s4 do contain '= 75.46 m^2' with 4.9, and s0's '49' follows the model writing '4\.9' with an escaped period, so the extractor also contributed. Coded on the image, which outranks the string evidence."
202,extraction_issue,high,GT is 'sympy:mathbb*r'; s2 emitted exactly that and matched. Model read the conclusion correctly. User reading confirmed.
228,notation_misread,medium,"s2 emitted the GT line exactly, but s0 gave x=-6 and s4 gave x=9 -- the model really does produce different answers across samples. Genuine instability plus a coordinate misread, not purely scoring."
234,extraction_issue,medium,"PARTLY DISAGREES WITH THE USER LABEL: s1 does drop the prime (1-p(a)p(b)), but the majority representative s0 is ""= 1 - p(a)p(b^{'})"" -- cosmetically identical to GT ""= 1 - p(a) p(b')"". The scored comparison fails on brace formatting, not on the prime."
240,extraction_issue,high,"Bug 1 (nested \textcolor not unwrapped): GT label became eq(textcolor*((3k/2)*(r*d*e)), pm*3) -- 'red' parsed as r*e*d. s4 emitted eq(3k/2, pm*3), the correct answer. User label confirmed, and the exact bug is named."
243,extraction_issue,high,"GT collapsed to 'sympy:r'; s0 and s3 emitted exactly that and matched, but majority (3/5) was the full sentence. User reading confirmed."
245,extraction_issue,high,"Not merely equivalent -- identical: the model's '50y^2 - 88x^2 = 275' is literally the second half of the GT line, which states both forms. GT kept the whole line. s0 misread 50 as 59."
264,extraction_issue,high,"GT kept only 'B = 15' from 'A = 45 and B = 15'; s3 emitted eq(b,15) and matched, majority gave both. User reading confirmed -- both sides lost A=45 differently."
