item_id,has_error,strict_v1_correct,strict_v2_correct,answer_type,question_type_if_available,entropy,parse_failed,max_entropy,span_m_disp,span_t_disp,label_m,label_t,human_label_if_available,human_truth_if_available,extraction_status_if_available,error_location_if_available,error_type_if_available,image_path_if_available,n_red_spans,red_spans_approx_only,answer_type_either_side,truth_span_len,model_span_len,answer_shape,truth_span_bucket,mcq_vs_open
10,False,True,True,numeric,free_response,1.3321790402101223,False,False,2,2,sympy:2,sympy:2,true_correct,correct,extraction_ok,,,,0,,numeric_or_expression,1,1,simple_value,tiny_<=3,free_response
11,False,True,True,mcq_option,mcq,0.0,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,1,"Additionally, note that the average work per day of A, B, an",mcq_option,8,8,simple_value,short_4-10,mcq
12,False,False,False,system_answer,free_response,0.9502705392332348,False,False,y = 1,"x = 3, \, y = 1","sympy:eq(y, 1)","sympy:eq(x, 3)",extraction_issue,indeterminate,extraction_issue,,,,11,PQ | R | P,system_answer,15,5,structured_or_prose,medium_11-30,free_response
13,True,False,False,single_expression,free_response,1.3321790402101223,False,False,0.005(3^2) - 0.02(3.3) + 30 = 0.135 - 0.18 + 30 = 0.135 - 0.12 + 30 = 30.015,MC = 0.005(3^2) - \textcolor{red}{0.02(3 \cdot 3)} + 30 = 0.135 - \textcolor{red}{0.18} + 30 = 0.135 - 0.12 + 30 = 30.015,text:0.005(3^2) - 0.02(3.3) + 30 = 0.135 - 0.18 + 30 = 0.135 - 0.12 + 30 = 30.015,text:mc = 0.005(3^2) - 0.02(3 \cdot 3) + 30 = 0.135 - 0.18 + 30 = 0.135 - 0.12 + 30 = 30.015,,,,,,,2,0.02(3 \cdot 3) | 0.18,numeric_or_expression,121,76,simple_value,very_long_>100,free_response
14,False,False,False,single_expression,mcq,1.3321790402101223,False,False,①,\Rightarrow x = 4.5,text:①,text:\rightarrow x = 4.5,extraction_issue,indeterminate,,,,,1,"Note that 17 is a prime number, and the properties of prime ",mcq_option,19,1,simple_value,medium_11-30,mcq
15,False,True,True,single_expression,free_response,0.9502705392332348,False,False,\sqrt[3]{13824} = 2 \times 2 \times 2 \times 3 = 24,\sqrt[3]{13824} = 2 \times 2 \times 2 \times 3 = 24,text:\sqrt[3]{13824} = 2 \times 2 \times 2 \times 3 = 24,text:\sqrt[3]{13824} = 2 \times 2 \times 2 \times 3 = 24,true_correct,correct,,,,,1,"Since 13824 is an even number, it is divisible by 2. Also, t",numeric_or_expression,51,51,simple_value,long_31-100,free_response
16,True,True,True,single_expression,free_response,1.0549201679861442,False,False,\frac{\sin(x+y)}{\sin(x-y)} = \frac{\cot x + \cot y}{\cot x - \cot y},\frac{\sin(x+y)}{\sin(x-y)} = \frac{\textcolor{red}{\cot x} + \textcolor{red}{\cot y}}{\textcolor{red}{\cot x} - \textcolor{red}{\cot y}}.,"sympy:eq(sin(x + y)/sin(x - y), (cot(x) + cot(y))/(cot(x) - cot(y)))","sympy:eq(sin(x + y)/sin(x - y), (cot(x) + cot(y))/(cot(x) - cot(y)))",true_correct,correct,,,,,4,\cot x | \cot y | \cot x,numeric_or_expression,138,69,simple_value,very_long_>100,free_response
17,True,False,False,text_conclusion,free_response,1.6094379124341005,False,True,\angle 40^\circ 20' = \frac{121\pi}{540} \text{ radian}.,40^\circ 20' = \frac{121\pi}{540} \text{ radian}.,sympy:angle*(40**circ*20),sympy:40**circ*20,,,,,,,2,\frac{\pi}{180} \times \frac{121}{3} \text{ radian} | 40 \frac{1}{3} \text{ degree},text_conclusion,49,56,structured_or_prose,long_31-100,free_response
18,True,True,True,mcq_option,mcq,0.5004024235381879,True,False,option c,option c,text:option c,text:option c,,,,,,,1,7,mcq_option,8,8,simple_value,short_4-10,mcq
19,False,True,True,single_expression,free_response,1.3321790402101223,True,False,\cos^{-1} \left( \frac{8\sqrt{3}}{15} \right),\cos^{-1} \left( \frac{8\sqrt{3}}{15} \right),sympy:acos((8*sqrt(3))/15),sympy:acos((8*sqrt(3))/15),true_correct,correct,,,,,20,"\(a, b, c\) | \(d, e, f\) | a \cdot d",numeric_or_expression,45,45,simple_value,long_31-100,free_response
20,False,False,False,text_conclusion,free_response,0.5004024235381879,False,False,|\overrightarrow{p} + \overrightarrow{q} + \overrightarrow{r}| = \sqrt{50} = 5\sqrt{2}.,|\textcolor{red}{\vec{p}} + \textcolor{red}{\vec{q}} + \textcolor{red}{\vec{r}}| = \sqrt{50} = 5\sqrt{2},text:|\overrightarrow{p} + \overrightarrow{q} + \overrightarrow{r}| = \sqrt{50} = 5\sqrt{2},text:|\textcolor{red}{\vec{p}} + \textcolor{red}{\vec{q}} + \textcolor{red}{\vec{r}}| = \sqrt{50} = 5\sqrt{2},,,,,,,35,\vec{p} | \vec{q} | \vec{r},text_conclusion,104,87,structured_or_prose,very_long_>100,free_response
21,False,False,False,single_expression,free_response,1.3321790402101223,False,False,u^2 = 4(2)u = 8u,\textcolor{red}{v}^2 = 4(2)u = 8u.,text:u^2 = 4(2)u = 8u,text:v^2 = 4(2)u = 8u,,,,,,,8,v | b | v,numeric_or_expression,34,16,simple_value,long_31-100,free_response
22,False,True,True,single_expression,free_response,1.3321790402101223,False,False,y^2 = 4(2)x = 8x,y^2 = 4(2)x = 8x.,text:y^2 = 4(2)x = 8x,text:y^2 = 4(2)x = 8x,true_correct,correct,,,,,2,"It's important to note that the distance from the focus to t | In addition, parabolas have reflective properties such that ",numeric_or_expression,17,16,simple_value,medium_11-30,free_response
23,False,True,True,text_conclusion,free_response,0.5004024235381879,False,False,\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},text:\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},text:\frac{-3}{-15} = \frac{-3 \div (-3)}{-15 \div (-3)} = \frac{1}{5},,,,,,,2,"To confirm, we can also check that 36 is \(6 \times 6\) and  | since -3 is a prime number,",text_conclusion,65,65,structured_or_prose,long_31-100,free_response
24,False,True,False,single_expression,free_response,0.9502705392332348,False,False,10^6,10^{6},sympy:10**6,sympy:10**6,extraction_issue,indeterminate,extraction_issue,,,,2,", which is derived from moving the decimal point 5 places to | , obtained by moving the decimal point 6 places to the left.",numeric_or_expression,6,4,simple_value,short_4-10,free_response
25,False,False,False,mcq_option,mcq,1.3321790402101223,False,False,2x = 10,option d,"sympy:eq(2*x, 10)",text:option d,extraction_issue,indeterminate,,,,,1,"For example, if \( x = 3 \), then \( 2x = 6 \) and \( 2x + 2",mcq_option,8,7,simple_value,short_4-10,mcq
26,True,False,False,text_conclusion,free_response,0.9502705392332348,False,False,\frac{11}{4} \log |x + 1| + \frac{5}{2(x + 1)} - \frac{11}{4} \log |x + 3| + C,= \frac{11}{4} \log \left| \frac{x+1}{x+3} \right| + \frac{5}{2(x+1)} + C,"sympy:c + (((11/4)*log(abs(x + 1), e) + 5/((2*(x + 1)))) - 11/4*log(abs(x + 3), e))",text:= \frac{11}{4} \log | \frac{x+1}{x+3} | + \frac{5}{2(x+1)} + c,copied_wrong_line,wrong,,,,,8,"\frac{11}{4} \log |x+1| + \frac{5}{2(x+1)} - \frac{11}{4} \l | Thus, the integrand is given by | \int \frac{3x - 2}{(x+1)^2(x+3)} \, dx = \frac{11}{4} \int \",text_conclusion,73,78,structured_or_prose,long_31-100,free_response
27,True,True,True,set_answer,free_response,0.5004024235381879,False,False,"4x = 3, \quad 3x - y = -6.","\textcolor{red}{4x = 3, \quad 3x - y = -6.}","sympy:eq(4*x, 3)","sympy:eq(4*x, 3)",true_correct,correct,extraction_ok,,,,4,"Solving for \( x \) and \( y \) simultaneously, we get  | x = \frac{3}{4} \quad \text{and} \quad y = \frac{33}{4}. | Equating the real and the imaginary parts, we get ",set_answer,43,26,structured_or_prose,long_31-100,free_response
28,False,True,True,mcq_option,mcq,0.9502705392332348,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,2,"For instance, if we consider the number 49, it is a perfect  | Similarly, the number 112 is not a prime number, and it can ",mcq_option,8,8,simple_value,short_4-10,mcq
29,True,True,True,mcq_option,mcq,0.0,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,1,5,mcq_option,8,8,simple_value,short_4-10,mcq
30,True,False,False,single_expression,free_response,1.3321790402101223,False,False,-\frac{1}{2},"-\frac{1}{2} \, \textcolor{red}{\text{cm}}",sympy:-1/2,sympy:-1*c*m/2,extraction_issue,indeterminate,,,,,4,\text{cm} | \text{cm} | \text{cm},numeric_or_expression,42,12,simple_value,long_31-100,free_response
31,True,True,True,numeric,free_response,0.6730116670092565,False,False,2 cm,"2 \, \text{cm}",sympy:2*(c*m),sympy:2*(c*m),extraction_issue,indeterminate,,,,,1,perimeter,numeric_or_expression,14,4,simple_value,medium_11-30,free_response
32,True,True,True,single_expression,free_response,0.5004024235381879,False,False,2y - x + 8 = 0.,"\textcolor{red}{2y - x + 8 = 0},","sympy:eq((-x + 2*y) + 8, 0)","sympy:eq((-x + 2*y) + 8, 0)",,,,,,,1,2y - x + 8 = 0,numeric_or_expression,32,15,simple_value,long_31-100,free_response
33,False,False,False,numeric,free_response,0.9502705392332348,True,False,"Therefore, -2 is a zero of the polynomial x + 2, but 2 is not",2,"text:therefore, -2 is a zero of the polynomial x + 2, but 2 is not",sympy:2,extraction_issue,indeterminate,extraction_issue,,,,3,q(t) | q(2) | q(-2),multi_value,1,61,simple_value,tiny_<=3,free_response
34,False,False,True,single_expression,free_response,0.5004024235381879,False,False,0 = 9,"0 = 9,",text:0 = 9,"text:0 = 9,",true_correct,correct,extraction_ok,,,,0,,numeric_or_expression,6,5,simple_value,short_4-10,free_response
35,False,False,False,numeric,free_response,1.3321790402101223,False,False,"(-4, -5)",7,"text:(-4, -5)",sympy:7,extraction_issue,indeterminate,extraction_issue,,,,2,"Note that \(16\) and \(25\) are obtained by squaring half of | The number \(49\) is a perfect square, and \(7^2 = 49\).",multi_value,1,8,simple_value,tiny_<=3,free_response
36,False,True,True,single_expression,free_response,1.0549201679861442,False,False,x = 2y^2 + Cy.,"x = 2y^2 + Cy,","sympy:eq(x, c*y + 2*y**2)","sympy:eq(x, c*y + 2*y**2)",true_correct,correct,,,,,2,"Notably, the logarithmic function here plays a crucial role  | Interestingly, this step confirms the earlier transformation",numeric_or_expression,14,14,simple_value,medium_11-30,free_response
37,True,True,True,single_expression,mcq,0.6730116670092565,False,False,\Rightarrow x = 10.5,\Rightarrow x = \textcolor{red}{10.5}.,text:\rightarrow x = 10.5,text:\rightarrow x = 10.5,,,,,,,4,"C | \[
4 \times 1 \times x = 3 \times 2 \times 7
\] | \[
\Rightarrow x = \frac{3 \times 2 \times 7}{4}
\]",numeric_or_expression,38,20,simple_value,long_31-100,mcq
38,False,False,False,single_expression,free_response,1.0549201679861442,False,False,"Further, f is not onto, as for 1 ∈ N , there does not exist any x in N such that f(x) = 2x = 1",f(x) = 2x = 1,"text:further, f is not onto, as for 1 ∈ n , there does not exist any x in n such that f(x) = 2x = 1",text:f(x) = 2x = 1,,,,,,,0,,text_conclusion,13,94,simple_value,medium_11-30,free_response
39,True,False,False,text_conclusion,free_response,1.6094379124341005,False,True,i^{-35} = \frac{1}{i^{35}} = \frac{1}{(i^2)^{17}i} = \frac{1 \times i}{-i} = \frac{i}{-(-1)} = i.,i^{-35} = \frac{1}{i^{35}} = \frac{1}{(i^2)^{17}i} = \frac{1 \times i}{-i} = \frac{i}{-(-1)} = \textcolor{red}{i \text{ cm}}.,"sympy:eq(false, i)",text:i^{-35} = \frac{1}{i^{35}} = \frac{1}{(i^2)^{17}i} = \frac{1 \times i}{-i} = \frac{i}{-(-1)} = i cm,extraction_issue,indeterminate,,,,,2,1 + 2\sqrt{2} \text{ cm} i | i \text{ cm},text_conclusion,125,97,structured_or_prose,very_long_>100,free_response
40,True,False,False,single_expression,free_response,1.0549201679861442,True,False,,\textcolor{red}{y},<parse_failure>,sympy:y,extraction_issue,indeterminate,extraction_issue,,,,8,y | y | y,numeric_or_expression,18,3,simple_value,medium_11-30,free_response
41,True,True,True,single_expression,free_response,0.5004024235381879,True,False,\frac{x^2}{75} + \frac{y^2}{100} = 1,\frac{x^2}{75} + \frac{y^2}{100} = 1.,"sympy:eq(x**2/75 + y**2/100, 1)","sympy:eq(x**2/75 + y**2/100, 1)",true_correct,correct,,,,,1,half the major axis,numeric_or_expression,37,36,simple_value,long_31-100,free_response
42,True,True,True,mcq_option,mcq,0.0,False,False,option b,option b,text:option b,text:option b,true_correct,correct,,,,,6,\times | 3760000 | 3760000,mcq_option,8,8,simple_value,short_4-10,mcq
43,True,True,True,single_expression,free_response,1.3321790402101223,True,False,8\sqrt{15} \div 2\sqrt{3} = \frac{8\sqrt{3} - \sqrt{5}}{2\sqrt{3}} = 4\sqrt{5},8\sqrt{15} \div 2\sqrt{3} = \frac{8\sqrt{3} \textcolor{red}{-} \sqrt{5}}{2\sqrt{3}} = 4\sqrt{5},text:8\sqrt{15} \div 2\sqrt{3} = \frac{8\sqrt{3} - \sqrt{5}}{2\sqrt{3}} = 4\sqrt{5},text:8\sqrt{15} \div 2\sqrt{3} = \frac{8\sqrt{3} - \sqrt{5}}{2\sqrt{3}} = 4\sqrt{5},,,,,,,1,-,numeric_or_expression,95,78,simple_value,long_31-100,free_response
44,False,True,True,mcq_option,mcq,0.0,False,False,option a,option a,text:option a,text:option a,true_correct,correct,,,,,1,Let's consider the interest rate calculation for a different,mcq_option,8,8,simple_value,short_4-10,mcq
45,True,False,False,multi_value,free_response,1.6094379124341005,False,True,y = \frac{3(-3) + 1(5)}{3+1} = \frac{-9 + 5}{4} = -1,"(7, \textcolor{red}{4})",text:y = \frac{3(-3) + 1(5)}{3+1} = \frac{-9 + 5}{4} = -1,"text:(7, 4)",needs_visual,indeterminate,,,,,2,\frac{3(5) + 1(-3)}{3 \times 1} = \frac{15 - 3}{3} = 4 | 4,multi_value,23,52,structured_or_prose,medium_11-30,free_response
46,False,True,True,mcq_option,mcq,0.0,False,False,option d,option d,text:option d,text:option d,true_correct,correct,,,,,1,If we also consider the numbers that are multiples of both 3,mcq_option,8,8,simple_value,short_4-10,mcq
47,True,False,False,system_answer,free_response,1.6094379124341005,False,True,x = 2 \quad \text{and} \quad y = 3.,"x = \textcolor{red}{2 \, \text{cm}} \quad \text{and} \quad y = \textcolor{red}{3 \, \text{cm}}.",text:x = 2 and y = 3,"text:x = 2 \, cm and y = 3 \, cm",true_correct,correct,extraction_ok,,,,2,"2 \, \text{cm} | 3 \, \text{cm}",system_answer,95,35,structured_or_prose,long_31-100,free_response
48,False,True,True,mcq_option,mcq,0.5004024235381879,False,False,option b,option b,text:option b,text:option b,,,,,,,1,"Since $54 - 45 = 9$, we see that the difference in distance ",mcq_option,8,8,simple_value,short_4-10,mcq
49,True,False,False,single_expression,free_response,1.3321790402101223,False,False,= 75.46 \text{ cm}^2,"= \pi r^2 = \frac{22}{7} \times (4.9)^2 \, \text{m}^2 = \frac{22}{7} \times 4.9 \times 4.9 \, \text{m}^2 = 75.46 \, \textcolor{red}{\text{cm}^2}",text:= 75.46 cm^2,"text:= \pi r^2 = \frac{22}{7} \times (4.9)^2 \, m^2 = \frac{22}{7} \times 4.9 \times 4.9 \, m^2 = 75.46 \, cm^2",,,,,,,1,\text{cm}^2,numeric_or_expression,144,20,simple_value,very_long_>100,free_response
50,True,True,True,set_answer,free_response,0.5004024235381879,False,False,"A' = \{2, 4, 6, 8, 10\}.","A' = \{2, 4, 6, 8, 10\}.","text:a' = \{2, 4, 6, 8, 10\}","text:a' = \{2, 4, 6, 8, 10\}",true_correct,correct,,,,,1,5,set_answer,24,24,structured_or_prose,medium_11-30,free_response
51,True,True,True,mcq_option,mcq,0.5004024235381879,True,False,option d,option d,text:option d,text:option d,true_correct,correct,,,,,1,\div,mcq_option,8,8,simple_value,short_4-10,mcq
52,False,False,False,single_expression,free_response,1.6094379124341005,True,True,"732 \, \text{cm}^3","= \frac{4}{3} \times \frac{22}{7} \times \textcolor{red}{b} \times \textcolor{red}{b} \times \textcolor{red}{b} \, \text{cm}^3 = 5887.32 \, \text{cm}^3",sympy:732*(c*m**3),"text:= \frac{4}{3} \times \frac{22}{7} \times b \times b \times b \, cm^3 = 5887.32 \, cm^3",extraction_issue,indeterminate,,,,,4,a | b | b,numeric_or_expression,151,18,simple_value,very_long_>100,free_response
53,True,False,True,single_expression,free_response,1.3321790402101223,False,False,nC_{17} = 18C_{17} = 18,nC_{17} = \textcolor{red}{18C_{17}} = 18.,text:nc_{17} = 18c_{17} = 18,text:nc_{17} = \textcolor{red}{18c_{17}} = 18,true_correct,correct,extraction_ok,,,,3,n - 8 = 10 | n = 18 | 18C_{17},numeric_or_expression,41,23,simple_value,long_31-100,free_response
54,True,False,False,numeric,free_response,0.9502705392332348,False,False,"Therefore, 243 is not a perfect cube",243,"text:therefore, 243 is not a perfect cube",sympy:243,extraction_issue,indeterminate,extraction_issue,,,,2,2 | 2,multi_value,3,36,simple_value,tiny_<=3,free_response
55,True,False,False,single_expression,free_response,1.3321790402101223,True,False,\tan(x + y) = \frac{\tan x + \tan y}{1 - \tan x \tan y},\tan (x + y) = \textcolor{red}{\frac{\tan x + \tan y}{1 + \tan x \tan y}},"sympy:eq(tan(x + y), (tan(x) + tan(y))/(1 - tan(x)*tan(y)))",text:\tan (x + y) = \textcolor{red}{\frac{\tan x + \tan y}{1 + \tan x \tan y}},notation_misread,wrong,,,,,1,\frac{\tan x + \tan y}{1 + \tan x \tan y},numeric_or_expression,73,55,simple_value,long_31-100,free_response
56,True,False,False,numeric,free_response,0.9502705392332348,False,False,95^\circ F,95^\circ,sympy:95**circ*f,sympy:95**circ,extraction_issue,indeterminate,,,,,1,\frac{9}{5},numeric_or_expression,8,10,simple_value,short_4-10,free_response
57,True,True,True,single_expression,free_response,0.9502705392332348,False,False,x = \frac{75000}{40} = 1875,x = \frac{75000}{40} = 1875,text:x = \frac{75000}{40} = 1875,text:x = \frac{75000}{40} = 1875,true_correct,correct,,,,,1,1875 grams,numeric_or_expression,27,27,simple_value,medium_11-30,free_response
58,False,True,True,single_expression,free_response,0.0,False,False,\mathbb{Z},\mathbb{Z},sympy:mathbb*z,sympy:mathbb*z,true_correct,correct,,,,,15,(x - x) | x | x,numeric_or_expression,10,10,simple_value,short_4-10,free_response
59,False,False,False,single_expression,free_response,1.3321790402101223,False,False,\overrightarrow{\text{RS}},\textcolor{red}{\overline{RS}},sympy:overrightarrow*(r*s),sympy:textcolor*((r*(d*e))*conjugate(r*s)),notation_misread,wrong,,,,,14,\overline{PQ} | \overline{RS} | \overline{PQ},numeric_or_expression,30,26,simple_value,medium_11-30,free_response
60,True,False,False,single_expression,free_response,1.6094379124341005,False,True,"\text{Hence, the required marginal revenue is 76}.","\text{₹} \, 7776",sympy:h*(e*(n*(c*e))),"text:₹ \, 7776",notation_misread,wrong,,,,,2,6^x | 6^5,multi_value,16,50,simple_value,medium_11-30,free_response
61,False,True,True,single_expression,free_response,0.5004024235381879,False,False,I = \frac{\pi}{12}.,I = \frac{\pi}{12},"sympy:eq(i, pi/12)","sympy:eq(i, pi/12)",,,,,,,0,,numeric_or_expression,18,19,simple_value,medium_11-30,free_response
62,False,True,False,text_conclusion,free_response,1.3321790402101223,False,False,"\left(\frac{f}{g}\right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","\left( \frac{f}{g} \right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","sympy:eq(x*(f/g), sqrt(x)/x)","sympy:eq(x*(f/g), sqrt(x)/x)",true_correct,correct,extraction_ok,,,,0,,text_conclusion,67,65,structured_or_prose,long_31-100,free_response
63,False,False,False,system_answer,free_response,1.3321790402101223,False,False,(1),"\textcolor{red}{t}^2 + \textcolor{red}{z}^2 + 2\textcolor{red}{t} - 4\textcolor{red}{z} + C = 0, \text{ where } C = 2C_1",sympy:1,"sympy:eq(c + (-4*z + (2*t + (t**2 + z**2))), 0)",extraction_issue,indeterminate,extraction_issue,,,,24,z | t | t,system_answer,120,3,structured_or_prose,very_long_>100,free_response
64,True,False,False,text_conclusion,free_response,1.3321790402101223,False,False,\sin^{-1}\left(\sin \frac{3\pi}{5}\right) = \sin^{-1}\left(\sin \frac{2\pi}{5}\right) = \frac{2\pi}{5}.,\sin^{-1} \left( \sin \frac{3\pi}{5} \right) = \sin^{-1} \left( \sin \frac{2\pi}{5} \right) = \frac{2\pi}{5}.,text:\sin^{-1}(\sin \frac{3\pi}{5}) = \sin^{-1}(\sin \frac{2\pi}{5}) = \frac{2\pi}{5},text:\sin^{-1} ( \sin \frac{3\pi}{5} ) = \sin^{-1} ( \sin \frac{2\pi}{5} ) = \frac{2\pi}{5},,,,,,,1,\frac{8\pi}{5},text_conclusion,109,103,structured_or_prose,very_long_>100,free_response
65,False,False,False,single_expression,free_response,1.6094379124341005,True,True,,y = 4000,<parse_failure>,"sympy:eq(y, 4000)",extraction_issue,indeterminate,extraction_issue,,,,0,,numeric_or_expression,8,3,simple_value,short_4-10,free_response
66,False,False,False,text_conclusion,free_response,1.6094379124341005,False,True,\left(-i\right)(2i)\left(\frac{-1}{8} - i\right)^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256}i,\left( -i \right) \left( 2i \right) \left( \frac{-1}{8} i \right)^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256} i,text:(-i)(2i)(\frac{-1}{8} - i)^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256}i,text:( -i ) ( 2i ) ( \frac{-1}{8} i )^3 = 2 \times \frac{1}{256} \times i^5 = \frac{1}{256} i,,,,,,,0,,text_conclusion,121,103,structured_or_prose,very_long_>100,free_response
67,True,False,False,system_answer,free_response,0.5004024235381879,False,False,d = \frac{1}{2} - (-\frac{3}{2}) = -2,"a = \frac{3}{2}, \quad d = \frac{1}{2} - \left(-\frac{3}{2}\right) = \textcolor{red}{-2}.",text:d = \frac{1}{2} - (-\frac{3}{2}) = -2,"sympy:eq(a, 3/2)",extraction_issue,indeterminate,extraction_issue,,,,1,-2,system_answer,89,37,structured_or_prose,long_31-100,free_response
68,True,False,False,single_expression,free_response,1.6094379124341005,False,True,= 14y^3 + 17y^2 - 28y + 10,12y^3 + \textcolor{red}{25y^2} - 28y + 2y^3 - 8y^2 + 10 = 14y^3 + \textcolor{red}{17y^2} - 28y + 10,text:= 14y^3 + 17y^2 - 28y + 10,text:12y^3 + 25y^2 - 28y + 2y^3 - 8y^2 + 10 = 14y^3 + 17y^2 - 28y + 10,,,,,,,4,m^2 - 2m | 25y^2 | 25y^2,numeric_or_expression,99,26,simple_value,long_31-100,free_response
69,False,True,True,mcq_option,mcq,0.0,False,False,option d,option d,text:option d,text:option d,,,,,,,1,The profit distribution is based on the total investment cal,mcq_option,8,8,simple_value,short_4-10,mcq
70,True,False,False,single_expression,free_response,1.0549201679861442,False,False,a_{20} = (20-1)(2-20)(3+20) = 19 \times (-18) \times 23 = -7966,= 19 \times (-18) \times 23 = \textcolor{red}{-7966}.,text:a_{20} = (20-1)(2-20)(3+20) = 19 \times (-18) \times 23 = -7966,text:= 19 \times (-18) \times 23 = -7966,,,,,,,1,-7966,numeric_or_expression,53,63,simple_value,long_31-100,free_response
